Time;Action
749396460.000000;23.000000
749396660.000000;24.000000
749397070.000000;23.000000
749397120.000000;24.000000
749397320.000000;23.000000
749397870.000000;24.000000
749397970.000000;23.000000
749398470.000000;24.000000
749398620.000000;18.000000
749398620.000000;20.000000
749398620.000000;22.000000
749399820.000000;27.000000
749399820.000000;30.000000
749399820.000000;36.000000
749402290.000000;28.000000
749425280.000000;27.000000
749426250.000000;28.000000
749427210.000000;25.000000
749430090.000000;26.000000
749430240.000000;25.000000
749430440.000000;26.000000
749430490.000000;25.000000
749430840.000000;26.000000
749431040.000000;25.000000
749431140.000000;26.000000
749432600.000000;25.000000
749432650.000000;26.000000
749441460.000000;25.000000
749441610.000000;26.000000
749442110.000000;25.000000
749442160.000000;26.000000
749442310.000000;25.000000
749442560.000000;26.000000
749442860.000000;25.000000
749442970.000000;26.000000
749444970.000000;25.000000
749445070.000000;26.000000
749574850.000000;33.000000
749637510.000000;25.000000
749637510.000000;17.000000
749637510.000000;19.000000
749637510.000000;21.000000
749637710.000000;26.000000
749638360.000000;25.000000
749638460.000000;26.000000
749638560.000000;25.000000
749640510.000000;26.000000
749641780.000000;23.000000
749642080.000000;24.000000
749642130.000000;23.000000
749642280.000000;24.000000
749642380.000000;23.000000
749642680.000000;24.000000
749642780.000000;23.000000
749643530.000000;18.000000
749643530.000000;20.000000
749643530.000000;22.000000
749643980.000000;24.000000
749645390.000000;27.000000
749645390.000000;30.000000
749645390.000000;36.000000
749648010.000000;28.000000
749673050.000000;27.000000
749675000.000000;28.000000
749676350.000000;25.000000
749679410.000000;26.000000
749680060.000000;25.000000
749680310.000000;26.000000
749680860.000000;25.000000
749681220.000000;26.000000
749681420.000000;25.000000
749681570.000000;26.000000
749687830.000000;25.000000
749688080.000000;26.000000
749688430.000000;25.000000
749688680.000000;26.000000
749814410.000000;33.000000
750099510.000000;25.000000
750099510.000000;17.000000
750099510.000000;19.000000
750099510.000000;21.000000
750099710.000000;26.000000
750100260.000000;25.000000
750100360.000000;26.000000
750102720.000000;23.000000
750103170.000000;24.000000
750103220.000000;23.000000
750103320.000000;24.000000
750103420.000000;23.000000
750104720.000000;24.000000
750104770.000000;23.000000
750104870.000000;24.000000
750105580.000000;18.000000
750105580.000000;20.000000
750105580.000000;22.000000
750106280.000000;27.000000
750106280.000000;30.000000
750106280.000000;36.000000
750108880.000000;28.000000
750136140.000000;27.000000
750137210.000000;28.000000
750138260.000000;25.000000
750139210.000000;26.000000
750139410.000000;25.000000
750139560.000000;26.000000
750139610.000000;25.000000
750139710.000000;26.000000
750141610.000000;25.000000
750141660.000000;26.000000
750280280.000000;33.000000
750348550.000000;25.000000
750348550.000000;17.000000
750348550.000000;19.000000
750348550.000000;21.000000
750348850.000000;26.000000
750349200.000000;25.000000
750349350.000000;26.000000
750350170.000000;25.000000
750350470.000000;26.000000
750353520.000000;23.000000
750353930.000000;24.000000
750354080.000000;23.000000
750354380.000000;24.000000
750354530.000000;23.000000
750354580.000000;18.000000
750354580.000000;20.000000
750354580.000000;22.000000
750354730.000000;24.000000
750354930.000000;23.000000
750354930.000000;36.000000
750355030.000000;24.000000
750356690.000000;27.000000
750357090.000000;28.000000
750357190.000000;27.000000
750357390.000000;28.000000
750357590.000000;27.000000
750358240.000000;28.000000
750358840.000000;25.000000
750359690.000000;26.000000
750359790.000000;25.000000
750359940.000000;26.000000
750359990.000000;25.000000
750360370.000000;26.000000
750360520.000000;25.000000
750360570.000000;26.000000
750361420.000000;25.000000
750361620.000000;26.000000
750362470.000000;25.000000
750362570.000000;26.000000
750362870.000000;25.000000
750363070.000000;26.000000
750363220.000000;25.000000
750363320.000000;26.000000
750367080.000000;25.000000
750367230.000000;26.000000
750368480.000000;25.000000
750368650.000000;26.000000
750395760.000000;25.000000
750396120.000000;26.000000
750396920.000000;25.000000
750398120.000000;26.000000
750398370.000000;25.000000
750398920.000000;26.000000
750399020.000000;25.000000
750399120.000000;26.000000
750399170.000000;25.000000
750399220.000000;26.000000
750399380.000000;25.000000
750399480.000000;26.000000
750399630.000000;25.000000
750399780.000000;26.000000
750400040.000000;25.000000
750400240.000000;26.000000
750400390.000000;25.000000
750400940.000000;26.000000
750401240.000000;25.000000
750401550.000000;26.000000
750402950.000000;25.000000
750403100.000000;26.000000
750408090.000000;25.000000
750408240.000000;26.000000
750409640.000000;25.000000
750409750.000000;26.000000
750538930.000000;33.000000
750581930.000000;25.000000
750581930.000000;17.000000
750581930.000000;19.000000
750581930.000000;21.000000
750582130.000000;26.000000
750583080.000000;25.000000
750583180.000000;26.000000
750583280.000000;25.000000
750584430.000000;26.000000
750585830.000000;23.000000
750586130.000000;24.000000
750586180.000000;23.000000
750586330.000000;24.000000
750586430.000000;23.000000
750587740.000000;24.000000
750587940.000000;18.000000
750587940.000000;20.000000
750587940.000000;22.000000
750587940.000000;23.000000
750587940.000000;36.000000
750589190.000000;24.000000
750589440.000000;23.000000
750589690.000000;24.000000
750590940.000000;27.000000
750592090.000000;28.000000
750592840.000000;25.000000
750593350.000000;26.000000
750593400.000000;25.000000
750594150.000000;26.000000
750595500.000000;25.000000
750596300.000000;26.000000
750597700.000000;25.000000
750597750.000000;26.000000
750598200.000000;25.000000
750598350.000000;26.000000
750601570.000000;25.000000
750601920.000000;26.000000
750604380.000000;25.000000
750604430.000000;26.000000
750639950.000000;33.000000
750677010.000000;25.000000
750677010.000000;17.000000
750677010.000000;19.000000
750677010.000000;21.000000
750677110.000000;26.000000
750677710.000000;25.000000
750677860.000000;26.000000
750679470.000000;23.000000
750679770.000000;24.000000
750679870.000000;23.000000
750680070.000000;18.000000
750680070.000000;20.000000
750680070.000000;22.000000
750680070.000000;24.000000
750680170.000000;23.000000
750680170.000000;35.000000
750680170.000000;36.000000
750681470.000000;24.000000
750681620.000000;23.000000
750682020.000000;24.000000
750682070.000000;23.000000
750682720.000000;24.000000
750682820.000000;23.000000
750686270.000000;24.000000
750687870.000000;23.000000
750689490.000000;24.000000
750691340.000000;25.000000
750692950.000000;26.000000
750694100.000000;25.000000
750694310.000000;26.000000
750694410.000000;25.000000
750695060.000000;26.000000
750695770.000000;25.000000
750695820.000000;26.000000
750703230.000000;25.000000
750704080.000000;26.000000
750704130.000000;25.000000
750704230.000000;26.000000
750704480.000000;25.000000
750704580.000000;26.000000
750705580.000000;25.000000
750705630.000000;26.000000
750705680.000000;25.000000
750705780.000000;26.000000
750715190.000000;33.000000
750717840.000000;25.000000
750717840.000000;17.000000
750717840.000000;19.000000
750717840.000000;21.000000
750718000.000000;26.000000
750719940.000000;25.000000
750720040.000000;26.000000
750720850.000000;18.000000
750720900.000000;20.000000
750720900.000000;22.000000
750722780.000000;23.000000
750722780.000000;35.000000
750722780.000000;36.000000
750722880.000000;24.000000
750723330.000000;23.000000
750723490.000000;24.000000
750723840.000000;23.000000
750723990.000000;24.000000
750724090.000000;23.000000
750724250.000000;24.000000
750725250.000000;25.000000
